Municipality,Total_SHI_units,Census_2010_Yr_Round_Housing_Units,Percent_Subsidized
Abington,485,6364,7.62
Acton,569,8475,6.71
Acushnet,97,4097,2.37
Adams,321,4337,7.4
Agawam,556,12090,4.6
Alford,0,231,0
Amesbury,738,7041,10.48
Amherst,1083,9621,11.26
Andover,1638,12324,13.29
Aquinnah,41,158,25.95
Arlington,1121,19881,5.64
Ashburnham,29,2272,1.28
Ashby,0,1150,0
Ashfield,2,793,0.25
Ashland,450,6581,6.84
Athol,310,5148,6.02
Attleboro,1155,17978,6.42
Auburn,251,6808,3.69
Avon,70,1763,3.97
Ayer,299,3440,8.69
Barnstable,1508,20550,7.34
Barre,83,2164,3.84
Becket,0,838,0
Bedford,974,5322,18.3
Belchertown,397,5771,6.88
Bellingham,551,6341,8.69
Belmont,365,10117,3.61
Berkley,24,2169,1.11
Berlin,119,1183,10.06
Bernardston,24,930,2.58
Beverly,1919,16522,11.61
Billerica,1458,14442,10.1
Blackstone,123,3606,3.41
Blandford,1,516,0.19
Bolton,62,1729,3.59
Boston,51283,269482,19.03
Bourne,705,8584,8.21
Boxborough,268,2062,13
Boxford,31,2730,1.14
Boylston,26,1765,1.47
Braintree,1369,14260,9.6
Brewster,292,4803,6.08
Bridgewater,912,8288,11
Brimfield,71,1491,4.76
Brockton,4619,35514,13.01
Brookfield,19,1452,1.31
Brookline,2587,26201,9.87
Buckland,3,866,0.35
Burlington,1283,9627,13.33
Cambridge,6911,46690,14.8
Canton,1090,8710,12.51
Carlisle,55,1740,3.16
Carver,146,4514,3.23
Charlemont,3,615,0.49
Charlton,83,4774,1.74
Chatham,180,3460,5.2
Chelmsford,1443,13741,10.5
Chelsea,2428,12592,19.28
Cheshire,0,1481,0
Chester,13,585,2.22
Chesterfield,17,524,3.24
Chicopee,2601,25074,10.37
Chilmark,3,418,0.72
Clarksburg,9,706,1.27
Clinton,547,6375,8.58
Cohasset,311,2898,10.73
Colrain,0,731,0
Concord,721,6852,10.52
Conway,0,803,0
Cummington,16,426,3.76
Dalton,159,2860,5.56
Danvers,1149,11071,10.38
Dartmouth,1020,11775,8.66
Dedham,1119,10115,11.06
Deerfield,33,2154,1.53
Dennis,402,7653,5.25
Dighton,144,2568,5.61
Douglas,140,3147,4.45
Dover,18,1950,0.92
Dracut,585,11318,5.17
Dudley,104,4360,2.39
Dunstable,0,1085,0
Duxbury,410,5532,7.41
East Bridgewater,176,4897,3.59
East Brookfield,0,888,0
East Longmeadow,445,6072,7.33
Eastham,54,2632,2.05
Easthampton,522,7567,6.9
Eaton,787,8105,9.71
Edgartown,89,1962,4.54
Egremont,0,596,0
Erving,0,778,0
Essex,40,1477,2.71
Everett,1061,16691,6.36
Fairhaven,486,7003,6.94
Fall River,4751,42650,11.14
Falmouth,987,14870,6.64
Fitchburg,1486,17058,8.71
Florida,0,335,0
Foxborough,865,6853,12.62
Framingham,2857,27443,10.41
Franklin,1352,11350,11.91
Freetown,86,3263,2.64
Gardner,1356,9064,14.96
Georgetown,352,3031,11.61
Gill,24,591,4.06
Gloucester,978,13270,7.37
Goshen,5,440,1.14
Gosnold,0,41,0
Grafton,371,7160,5.18
Granby,67,2451,2.73
Granville,0,630,0
Great Barrington,306,3072,9.96
Greenfield,1156,8325,13.89
Groton,221,3930,5.62
Groveland,80,2423,3.3
Hadley,264,2200,12
Halifax,28,2971,0.94
Hamilton,84,2783,3.02
Hampden,60,1941,3.09
Hancock,0,326,0
Hanover,575,4832,11.9
Hanson,157,3572,4.4
Hardwick,8,1185,0.68
Harvard,113,1982,5.7
Harwich,335,6121,5.47
Hatfield,52,1549,3.36
Haverhill,2555,25557,10
Hawley,0,137,0
Heath,0,334,0
Hingham,1005,8841,11.37
Hinsdale,0,918,0
Holbrook,440,4262,10.32
Holden,407,6624,6.14
Holland,13,1051,1.24
Holliston,242,5077,4.77
Holyoke,3244,16320,19.88
Hopedale,119,2278,5.22
Hopkinton,724,5087,14.23
Hubbardston,49,1627,3.01
Hudson,892,7962,11.2
Hull,84,4964,1.69
Huntington,44,919,4.79
Ipswich,513,5735,8.95
Kingston,204,4881,4.18
Lakeville,274,3852,7.11
Lancaster,140,2544,5.5
Lanesborough,28,1365,2.05
Lawrence,4057,27092,14.97
Lee,176,2702,6.51
Leicester,176,4231,4.16
Lenox,178,2473,7.2
Leominster,1456,17805,8.18
Leverett,2,792,0.25
Lexington,1327,11946,11.11
Leyden,0,300,0
Lincoln,296,2130,13.99
Littleton,444,3443,12.9
Longmeadow,272,5874,4.63
Lowell,5162,41308,12.5
Ludlow,293,8337,3.51
Lunenburg,195,4037,4.83
Lynn,4435,35701,12.42
Lynnfield,495,4319,11.46
Malden,2542,25122,10.12
Manchester,115,2275,5.05
Mansfield,939,8725,10.76
Marblehead,333,8528,3.9
Marion,156,2014,7.75
Marlborough,1866,16347,11.41
Marshfield,821,9852,8.33
Mashpee,337,6473,5.21
Mattapoisett,70,2626,2.67
Maynard,379,4430,8.56
Medfield,328,4220,7.77
Medford,1672,23968,6.98
Medway,376,4603,8.17
Melrose,936,11714,7.99
Mendon,40,2072,1.93
Merrimac,141,2527,5.58
Methuen,1682,18268,9.21
Middleborough,589,8921,6.6
Middlefield,2,230,0.87
Middleton,151,3011,5.01
Milford,972,11379,8.54
Millbury,221,5592,3.95
Millis,118,3148,3.75
Millville,26,1157,2.25
Milton,481,9641,4.99
Monroe,0,64,0
Monson,138,3406,4.05
Montague,376,3926,9.58
Monterey,0,465,0
Montgomery,0,337,0
Mount Washington,0,80,0
Nahant,48,1612,2.98
Nantucket,132,4896,2.7
Natick,1477,14052,10.51
Needham,1399,11047,12.66
New Ashford,0,104,0
New Bedford,5110,42816,11.93
New Braintree,0,386,0
New Marlborough,0,692,0
New Salem,0,433,0
Newbury,94,2699,3.48
Newburyport,599,8015,7.47
Newton,2416,32346,7.47
Norfolk,150,3112,4.82
North Adams,866,6681,12.96
North Andover,931,10902,8.54
North Attleborough,294,11553,2.54
North Brookfield,142,2014,7.05
North Reading,540,5597,9.65
Northampton,1376,12604,10.92
Northborough,601,5297,11.35
Northbridge,453,6144,7.37
Northfield,27,1290,2.09
Norton,595,6707,8.87
Norwell,297,3652,8.13
Norwood,1228,12441,9.87
Oak Bluffs,146,2138,6.83
Oakham,0,702,0
Orange,405,3461,11.7
Orleans,304,3290,9.24
Otis,0,763,0
Oxford,404,5520,7.32
Palmer,269,5495,4.9
Paxton,62,1590,3.9
Peabody,2052,22135,9.27
Pelham,0,564,0
Pembroke,616,6477,9.51
Pepperell,130,4335,3
Peru,0,354,0
Petersham,0,525,0
Phillipston,8,658,1.22
Pittsfield,1936,21031,9.21
Plainfield,0,283,0
Plainville,572,3459,16.54
Plymouth,711,22285,3.19
Plympton,51,1039,4.91
Princeton,26,1324,1.96
Provincetown,208,2122,9.8
Quincy,4088,42547,9.61
Randolph,1280,11980,10.68
Raynham,489,5052,9.68
Reading,1004,9584,10.48
Rehoboth,27,4252,0.63
Revere,1779,21956,8.1
Richmond,4,706,0.57
Rochester,8,1865,0.43
Rockland,450,7030,6.4
Rockport,135,3460,3.9
Rowe,0,177,0
Rowley,94,2226,4.22
Royalston,3,523,0.57
Russell,8,687,1.16
Rutland,86,2913,2.95
Salem,2516,18998,13.24
Salisbury,592,3842,15.41
Sandisfield,0,401,0
Sandwich,307,8183,3.75
Saugus,732,10754,6.81
Savoy,0,318,0
Scituate,352,7163,4.91
Seekonk,87,5272,1.65
Sharon,683,6413,10.65
Sheffield,30,1507,1.99
Shelburne,51,893,5.71
Sherborn,34,1479,2.3
Shirley,57,2417,2.36
Shrewsbury,887,13919,6.37
Shutesbury,2,758,0.26
Somerset,273,7335,3.72
Somerville,3263,33632,9.7
South Hadley,424,7091,5.98
Southampton,44,2310,1.9
Southborough,472,3433,13.75
Southbridge,499,7517,6.64
Southwick,164,3852,4.26
Spencer,267,5137,5.2
Springfield,10192,61556,16.56
Sterling,68,2918,2.33
Stockbridge,113,1051,10.75
Stoneham,495,9399,5.27
Stoughton,1240,10742,11.54
Stow,185,2500,7.4
Sturbridge,209,3759,5.56
Sudbury,669,5921,11.3
Sunderland,0,1718,0
Sutton,50,3324,1.5
Swampscott,250,5795,4.31
Swansea,243,6290,3.86
Taunton,1529,23844,6.41
Templeton,238,3014,7.9
Tewksbury,1048,10803,9.7
Tisbury,109,1965,5.55
Tolland,0,222,0
Topsfield,155,2157,7.19
Townsend,160,3356,4.77
Truro,28,1090,2.57
Tyngsborough,465,4166,11.16
Tyringham,0,149,0
Upton,178,2820,6.31
Uxbridge,264,5284,5
Wakefield,759,10459,7.26
Wales,43,772,5.57
Walpole,636,8984,7.08
Waltham,1842,24805,7.43
Ware,387,4539,8.53
Wareham,764,9880,7.73
Warren,101,2202,4.59
Warwick,0,363,0
Washington,0,235,0
Watertown,1102,15521,7.1
Wayland,317,4957,6.39
Webster,722,7788,9.27
Wellesley,615,9090,6.77
Wellfleet,30,1550,1.94
Wendell,5,419,1.19
Wenham,118,1404,8.4
West Boylston,223,2729,8.17
West Bridgewater,121,2658,4.55
West Brookfield,68,1578,4.31
West Newbury,39,1558,2.5
West Springfield,429,12629,3.4
West Stockbridge,0,645,0
West Tisbury,23,1253,1.84
Westborough,971,7304,13.29
Westfield,1158,16001,7.24
Westford,1056,7671,13.77
Westhampton,17,635,2.68
Westminster,87,2826,3.08
Weston,169,3952,4.28
Westport,232,6417,3.62
Westwood,588,5389,10.91
Weymouth,1771,23337,7.59
Whately,2,654,0.31
Whitman,200,5513,3.63
Wilbraham,305,5442,5.6
Williamsburg,51,1165,4.38
Williamstown,201,2805,7.17
Wilmington,799,7788,10.26
Winchendon,331,4088,8.1
Winchester,244,7920,3.08
Windsor,0,387,0
Winthrop,638,8253,7.73
Woburn,1411,16237,8.69
Worcester,9961,74383,13.39
Worthington,22,553,3.98
Wrentham,485,3821,12.69
Yarmouth,596,12037,4.95
